angle,dbm_measurement,snr_db,snr_power_ratio,max_bit_rate
-90,-76.0,16.0,39.810717055349734,267543.80771243013
-45,-57.0,35.0,3162.2776601683795,581360.2240108022
-27,-56.0,36.0,3981.0717055349733,597965.1742348988
0,-56.0,36.0,3981.0717055349733,597965.1742348988
15,-56.0,36.0,3981.0717055349733,597965.1742348988
30,-57.0,35.0,3162.2776601683795,581360.2240108022
45,-58.0,34.0,2511.88643150958,564756.4877781094
50,-59.0,33.0,1995.2623149688789,548154.279616551
60,-59.5,32.5,1778.2794100389228,539853.8683700217
90,-66.0,26.0,398.1071705534973,432031.6194508696
